transcript gene 001_5d234 002_embABC 003_rootABC 004_15d124 005_leafABC 006_inf2FGH 007_nodABC 008_inf1ABC
MLOC_10110.1 MLOC_10110 0.394322 2.35956 0.659846 0.0738986 6.18836 0 0.0651994 0.0182209
MLOC_10111.8 MLOC_10111 0.132241 2.04994 0.206774 0.216742 0.905399 0.347122 19.2653 0.509408
MLOC_10115.1 MLOC_10115 18.7909 3.06342 2.25066 17.9961 1.12314 30.545 1.13866 8.12256
MLOC_10116 MLOC_10116 4.54868 7.12784 4.72434 0.852639 1.21723 13.0498 0.20069 10.6022
MLOC_10117.1 MLOC_10117 2.26028 1.25814 1.60899 1.51634 0.567231 1.51744 2.64809 1.24746
MLOC_10119.2 MLOC_10119 1.46902 0.315137 0.322229 0.651021 0.338418 1.09818 0.320327 0.422213
MLOC_10126.3 MLOC_10126 14.021 12.8245 13.5323 10.2896 5.42768 17.0702 44.4993 16.3013
MLOC_1013 MLOC_1013 0 0.141562 0.406258 0.224247 0.314446 0 0 0
MLOC_10131 MLOC_10131 55.3962 27.4693 86.8491 52.3752 15.6619 24.1802 118.181 15.1438
MLOC_10133.1 MLOC_10133 0.265379 0.588575 0.885616 0.104152 0.28613 0.340654 0.0350611 0.0380637
MLOC_10137 MLOC_10137 1.5841 1.22877 1.73386 0.127474 1.17648 3.64611 2.77129 2.99441
MLOC_10138.1 MLOC_10138 0 0 0 0 0 0 0 0
MLOC_10139.2 MLOC_10139 1.10939 0.498327 0.112664 0.597894 0.584819 0.848408 0.736283 0.623525
MLOC_10140.1 MLOC_10140 0 1.41435 5.6923 0.298934 0.0154302 0.156697 0.0127142 0.238808
MLOC_10144.1 MLOC_10144 4.72092 3.25641 2.68026 6.84858 3.29416 7.63252 26.9183 5.48381
MLOC_10145 MLOC_10145 4.4034 7.39426 9.64054 1.88693 6.0575 7.0133 30.7946 7.03322
MLOC_10146.1 MLOC_10146 0.185904 0.536163 0.773718 0.262947 0.648862 0.594471 1.29864 0.335499
MLOC_10147.5 MLOC_10147 7.66401 9.74013 9.66483 24.4594 10.3158 21.6395 18.7223 11.6369
MLOC_10149.1 MLOC_10149 0 0.0628851 2.57317 0 0.305163 0.0623255 0.176277 0.0379243
MLOC_10153.7 MLOC_10153 3.17786 5.08765 12.9841 1.1385 7.67598 2.40772 29.2676 1.93368
MLOC_10154 MLOC_10154 32.7675 56.272 45.584 27.1413 41.6654 15.9038 86.5766 13.5343
MLOC_10155.1 MLOC_10155 83.7644 8.66507 5.87095 15.8555 40.9275 9.08085 14.5824 4.92924
MLOC_10156 MLOC_10156 3.39917 1.95156 4.23016 14.8249 3.40663 1.31123 8.86052 0.682252
MLOC_10159.1 MLOC_10159 0.0552237 0.345497 0.759494 0.232937 1.31536 0.0880592 67.0198 0.0379696
MLOC_10160.2 MLOC_10160 1.93466 8.6869 9.28927 1.59954 1.98533 0.688853 30.2626 0.29618
MLOC_10167.2 MLOC_10167 1.90034 0.81426 0.348505 0.784381 0.293423 1.07976 0.0693459 1.68785
MLOC_10168.1 MLOC_10168 0.514681 0.15375 0.250078 0.179676 0.0439768 0.136832 0.0406413 0.09479
MLOC_10169.2 MLOC_10169 29.7594 27.5695 45.3503 88.1169 22.0827 85.7306 60.7465 50.6586
MLOC_10170.2 MLOC_10170 0.570134 1.65219 1.86088 0.78196 1.17318 6.45608 2.54396 4.31455
MLOC_10171.2 MLOC_10171 13.1434 15.3484 18.8079 9.18662 9.61995 15.5244 31.8654 10.3536
MLOC_10174 MLOC_10174 0.0620454 1.80989 4.60549 0.264494 4.6828 0.0953383 4.70224 0.0857169
MLOC_10176.1 MLOC_10176 0.0791267 0.105249 0.0418062 906.039 0.0852347 0.0599564 0 0.0679542
MLOC_10177.1 MLOC_10177 1.80047 0.0399429 0 13.2553 0 0 0 0
MLOC_10180.1 MLOC_10180 0 0 3.50018 0 0 0 0 0
MLOC_10182 MLOC_10182 11.3314 13.2658 10.3473 5.82651 4.06123 10.074 4.4058 10.8245
MLOC_10183.1 MLOC_10183 0 0.0512317 0 0 0.734778 0 8.09358 0
MLOC_10184 MLOC_10184 2.4234 2.7236 2.24651 1.65973 7.16331 3.52948 10.9797 2.42419
MLOC_10186 MLOC_10186 28.5352 36.2822 29.6293 30.0969 15.761 37.0077 65.3908 45.3254
MLOC_10195.4 MLOC_10195 1.51683 1.98044 2.41313 2.05087 1.27844 5.67476 3.00088 4.70545
MLOC_10199.2 MLOC_10199 17.3069 7.38858 9.22864 43.9834 9.97454 37.3121 19.2571 17.093
MLOC_10200 MLOC_10200 33.5764 39.2955 47.0104 71.0693 36.554 46.7266 76.8117 37.0655
MLOC_10201 MLOC_10201 16.5889 21.807 11.6898 12.4818 14.9964 15.0395 45.8122 17.8988
MLOC_10203.4 MLOC_10203 1.52713 23.6091 22.192 1.26955 16.0595 22.5623 58.068 25.9414
MLOC_10204.1 MLOC_10204 29.2243 45.5978 74.1271 32.4243 90.2476 65.9651 225.679 46.3192
MLOC_10206.6 MLOC_10206 3.17603 1.64639 1.4078 2.70365 1.56995 6.30847 4.57312 3.20754
MLOC_10207 MLOC_10207 10.6267 15.9979 15.5268 16.7802 14.9115 11.3665 28.6997 8.09339
MLOC_10208 MLOC_10208 8.92883 20.0479 3.6767 3.49356 17.8685 4.95904 19.1459 5.52746
MLOC_1021.1 MLOC_1021 1.70075 2.64187 2.36671 1.27928 1.40749 1.17758 16.5623 1.06857
MLOC_10214 MLOC_10214 13.3345 5.04341 3.06103 1.91686 2.42776 9.81837 2.92616 5.93659
MLOC_10218.1 MLOC_10218 46.1416 22.1284 30.9495 43.722 49.5348 2.82084 14.6374 1.97354
MLOC_10219 MLOC_10219 6.49177 12.161 20.96 4.03647 22.4213 6.45363 56.233 4.13173
MLOC_10221.2 MLOC_10221 0.0197736 1.48721 1.7827 0.523451 0.148121 23.967 0.596624 26.7937
MLOC_10223.2 MLOC_10223 2.46142 0.286526 0.201455 1.73353 0.107686 1.83863 2.44038 0.786945
MLOC_10224.2 MLOC_10224 69.3553 63.7937 41.4487 34.7038 8.33018 204.213 1.62922 180.037
MLOC_10225.1 MLOC_10225 0.220506 4.41244 3.05234 0.180198 0.713517 2.523 0.0273368 3.45923
MLOC_10226 MLOC_10226 163.871 198.73 249.619 317.273 192.091 79.1524 591.414 81.0584
MLOC_10228.2 MLOC_10228 34.854 32.7791 38.7074 39.2214 28.4653 43.3646 84.8347 29.4166
MLOC_10229 MLOC_10229 3.30561 2.7413 3.01781 3.81953 2.58298 6.15124 3.83661 3.63577
MLOC_10230 MLOC_10230 149.864 175.333 225.956 168.243 131.747 210.935 393.459 130.61
MLOC_10234 MLOC_10234 10.561 10.848 25.2681 15.0913 17.212 14.1357 66.4615 10.3692
MLOC_10242.1 MLOC_10242 1.0645 0.312225 0.527617 0.450349 3.87966 0.398611 25.7818 1.50612
MLOC_10243.2 MLOC_10243 0.728953 0.302138 2.36572 0.638014 0.14051 7.41643 0.88069 10.2171
MLOC_10246.1 MLOC_10246 0.060997 0.155321 2.41703 0 0 0 0.103626 0
MLOC_10247 MLOC_10247 1.9991 3.32548 1.41432 1.4183 2.79179 6.60641 0.801376 7.49329
MLOC_10260 MLOC_10260 18.5624 15.7157 20.437 14.0617 10.2179 33.5005 50.9735 24.749
MLOC_10261.1 MLOC_10261 30.424 15.3448 26.6513 7.14026 6.83875 26.5005 8.17228 14.5091
MLOC_10262.1 MLOC_10262 119.129 133.726 173.459 19.3594 152.275 45.844 366.103 15.9783
MLOC_10264.2 MLOC_10264 0.260023 0.578165 1.64391 0.19538 1.93687 0 1.09555 0.0343247
MLOC_10265.1 MLOC_10265 0.0614431 0 0 0.208543 0 0.22491 0.0539431 0.216889
MLOC_10268.4 MLOC_10268 7.90153 5.78772 4.58338 9.24525 4.20004 10.5807 2.79056 9.72778
MLOC_10269.2 MLOC_10269 29.1726 17.1655 22.1166 16.8087 11.4144 35.9327 63.7217 21.7803
MLOC_10271.6 MLOC_10271 1.74511 1.6071 1.63681 1.66956 7.02187 4.46301 7.41918 3.16532
MLOC_10272.2 MLOC_10272 0.0311162 0.0729653 0.773719 0.124654 48.4191 0.103588 0.130486 0.0181991
MLOC_10278.1 MLOC_10278 21.6828 19.1707 26.3956 26.2854 11.4009 20.7696 51.2495 15.1326
MLOC_10279 MLOC_10279 7.97788 7.87306 4.50526 2.69755 23.1713 12.9689 56.3402 10.612
MLOC_10280.2 MLOC_10280 34.0097 59.8515 116.734 73.0291 38.9997 28.4561 147.221 5.4473
MLOC_10282.1 MLOC_10282 67.2274 70.453 23.2834 18.8494 128.878 35.3434 85.5486 42.5635
MLOC_10286.1 MLOC_10286 0.182498 1.65037 4.16347 0.183721 0.10409 0.0816915 0.118578 0.0374913
MLOC_10290.2 MLOC_10290 0.490143 1.17163 1.53552 0.833049 0.286318 2.25549 0.454183 1.21642
MLOC_10292.5 MLOC_10292 2.11373 1.75658 3.40594 3.59172 2.57293 17.8906 16.297 4.46192
MLOC_10300.1 MLOC_10300 0.0176794 0.0204028 14.6402 0.316845 0.0220727 0 0 0.019771
MLOC_10301.1 MLOC_10301 0.386679 1.32911 1.67588 0.979628 0.751052 11.9501 2.54176 7.68745
MLOC_10304.3 MLOC_10304 1.88051 2.79697 3.19415 20.0107 2.92787 1.89741 11.1754 3.3528
MLOC_10305 MLOC_10305 29.1259 28.4085 18.6997 18.235 13.2109 12.8502 36.1003 12.7632
MLOC_10308 MLOC_10308 0.109191 0.308264 0.297019 0.14707 0.259157 0.983364 2.71194 0.506684
MLOC_10310.1 MLOC_10310 2.51702 0 0 0.777193 0 0 0 0
MLOC_10311.1 MLOC_10311 11.0103 5.31512 6.70412 6.91845 7.50223 23.6519 13.547 14.4485
MLOC_10312 MLOC_10312 5.61336 8.11682 7.1618 2.49095 5.02017 3.87265 13.2432 8.41444
MLOC_10313.1 MLOC_10313 0.221182 0 0.1156 0.923056 0 0 0 0
MLOC_10314.1 MLOC_10314 43.1493 41.9563 30.3519 9.39366 5.43844 134.278 1.41098 109.605
MLOC_10315 MLOC_10315 10.2117 8.25905 12.3482 21.7734 5.69835 15.7491 30.8249 11.0559
MLOC_10316.1 MLOC_10316 1.6399 0.488853 0.278787 12.1717 0.134468 0.74819 0.55671 0.517196
MLOC_10319.1 MLOC_10319 1.71514 2.26857 0.745622 0.272121 2.50471 0.683191 0.155334 0.520227
MLOC_10322.3 MLOC_10322 1.6366 1.82175 1.48232 2.3465 1.26744 3.43165 4.26227 2.37311
MLOC_10327 MLOC_10327 18.531 17.2777 19.368 9.95874 8.3047 31.5999 84.6102 16.3389
MLOC_10329.1 MLOC_10329 57.9316 37.0431 31.0317 37.8333 28.7263 116.293 73.7003 84.2264
MLOC_10331.1 MLOC_10331 0.977303 0.213871 0.387213 0.523985 0.419858 1.33246 1.40417 0.854194
MLOC_10332 MLOC_10332 3.5282 6.62192 9.45541 56.077 7.58543 15.0509 64.1542 6.64052
MLOC_10335 MLOC_10335 0.323915 1.57958 4.71862 0.386432 1.66185 0.103678 4.50621 0.0849033
