gene	module	isHub
MLOC_13834.1	004_15d124	TRUE
MLOC_13867.2	004_15d124	TRUE
MLOC_13879.1	004_15d124	TRUE
MLOC_13881.1	004_15d124	TRUE
MLOC_13948	004_15d124	TRUE
MLOC_1397.2	004_15d124	TRUE
MLOC_13975.1	004_15d124	TRUE
MLOC_1402.1	004_15d124	TRUE
MLOC_14021.1	004_15d124	TRUE
MLOC_14023.4	004_15d124	TRUE
MLOC_14105.3	004_15d124	TRUE
MLOC_14228	004_15d124	TRUE
MLOC_14293.2	004_15d124	TRUE
MLOC_14295.2	004_15d124	TRUE
MLOC_14401.1	004_15d124	TRUE
MLOC_14423	004_15d124	TRUE
MLOC_1444.1	004_15d124	TRUE
MLOC_14485.1	004_15d124	TRUE
MLOC_14488.3	004_15d124	TRUE
MLOC_14581	004_15d124	TRUE
MLOC_14592.1	004_15d124	TRUE
MLOC_1466.1	004_15d124	TRUE
MLOC_14660	004_15d124	TRUE
MLOC_14677.1	004_15d124	TRUE
MLOC_14726	004_15d124	TRUE
MLOC_14775.2	004_15d124	TRUE
MLOC_148.2	004_15d124	TRUE
MLOC_14856.2	004_15d124	TRUE
MLOC_14868	004_15d124	TRUE
MLOC_14874.1	004_15d124	TRUE
MLOC_14949.1	004_15d124	TRUE
MLOC_1495.1	004_15d124	TRUE
MLOC_14996.3	004_15d124	TRUE
MLOC_15024.1	004_15d124	TRUE
MLOC_15115	004_15d124	TRUE
MLOC_15248.2	004_15d124	TRUE
MLOC_15316	004_15d124	TRUE
MLOC_15335.1	004_15d124	TRUE
MLOC_15416	004_15d124	TRUE
MLOC_15435	004_15d124	TRUE
MLOC_15443.2	004_15d124	TRUE
MLOC_15459.1	004_15d124	TRUE
MLOC_15477.1	004_15d124	TRUE
MLOC_15498	004_15d124	TRUE
MLOC_15549.4	004_15d124	TRUE
MLOC_15569.1	004_15d124	TRUE
MLOC_15578	004_15d124	TRUE
MLOC_15589.1	004_15d124	TRUE
MLOC_15604.1	004_15d124	TRUE
MLOC_1562.1	004_15d124	TRUE
MLOC_1565.1	004_15d124	TRUE
MLOC_15661.3	004_15d124	TRUE
MLOC_15704	004_15d124	TRUE
MLOC_15713	004_15d124	TRUE
MLOC_15725.3	004_15d124	TRUE
MLOC_15741	004_15d124	TRUE
MLOC_1581.1	004_15d124	TRUE
MLOC_15819.2	004_15d124	TRUE
MLOC_15826.1	004_15d124	TRUE
MLOC_15843.2	004_15d124	TRUE
MLOC_15853.2	004_15d124	TRUE
MLOC_1588.1	004_15d124	TRUE
MLOC_15887.2	004_15d124	TRUE
MLOC_15938.2	004_15d124	TRUE
MLOC_15949	004_15d124	TRUE
MLOC_15987	004_15d124	TRUE
MLOC_16.1	004_15d124	TRUE
MLOC_160.1	004_15d124	TRUE
MLOC_16005.1	004_15d124	TRUE
MLOC_16037.3	004_15d124	TRUE
MLOC_16049	004_15d124	TRUE
MLOC_16170.2	004_15d124	TRUE
MLOC_16173.1	004_15d124	TRUE
MLOC_16240.6	004_15d124	TRUE
MLOC_16313.8	004_15d124	TRUE
MLOC_16423.3	004_15d124	TRUE
MLOC_16458	004_15d124	TRUE
MLOC_16483.3	004_15d124	TRUE
MLOC_16579.1	004_15d124	TRUE
MLOC_16731.1	004_15d124	TRUE
MLOC_16769	004_15d124	TRUE
MLOC_16779	004_15d124	TRUE
MLOC_1680.1	004_15d124	TRUE
MLOC_16851.3	004_15d124	TRUE
MLOC_1696.1	004_15d124	TRUE
MLOC_17028.2	004_15d124	TRUE
MLOC_17049	004_15d124	TRUE
MLOC_17064.1	004_15d124	TRUE
MLOC_1713.1	004_15d124	TRUE
MLOC_17132.1	004_15d124	TRUE
MLOC_17145.1	004_15d124	TRUE
MLOC_17153	004_15d124	TRUE
MLOC_17178	004_15d124	TRUE
MLOC_17206.2	004_15d124	TRUE
MLOC_17210.1	004_15d124	TRUE
MLOC_17240.4	004_15d124	TRUE
MLOC_17272	004_15d124	TRUE
MLOC_17390	004_15d124	TRUE
MLOC_1740	004_15d124	TRUE
MLOC_17446	004_15d124	TRUE
MLOC_17450	004_15d124	TRUE
MLOC_17469.1	004_15d124	TRUE
MLOC_17514	004_15d124	TRUE
MLOC_17558.1	004_15d124	TRUE
MLOC_17575	004_15d124	TRUE
MLOC_17622.1	004_15d124	TRUE
MLOC_17685	004_15d124	TRUE
MLOC_17774.2	004_15d124	TRUE
MLOC_17803.1	004_15d124	TRUE
MLOC_17823	004_15d124	TRUE
MLOC_17861.1	004_15d124	TRUE
MLOC_17891.1	004_15d124	TRUE
MLOC_17893.1	004_15d124	TRUE
MLOC_17938.4	004_15d124	TRUE
MLOC_17958.1	004_15d124	TRUE
MLOC_18003.1	004_15d124	TRUE
MLOC_18025.2	004_15d124	TRUE
MLOC_18038.2	004_15d124	TRUE
MLOC_18060.1	004_15d124	TRUE
MLOC_18160.2	004_15d124	TRUE
MLOC_18182	004_15d124	TRUE
MLOC_18231	004_15d124	TRUE
MLOC_18233.1	004_15d124	TRUE
MLOC_18323.1	004_15d124	TRUE
MLOC_18340.1	004_15d124	TRUE
MLOC_18451	004_15d124	TRUE
MLOC_18507.1	004_15d124	TRUE
MLOC_1855.2	004_15d124	TRUE
MLOC_18586.2	004_15d124	TRUE
MLOC_18662.1	004_15d124	TRUE
MLOC_18669.1	004_15d124	TRUE
MLOC_18726.1	004_15d124	TRUE
MLOC_18771.1	004_15d124	TRUE
MLOC_18800	004_15d124	TRUE
MLOC_18877.1	004_15d124	TRUE
MLOC_1898.1	004_15d124	TRUE
MLOC_19046.3	004_15d124	TRUE
MLOC_19106	004_15d124	TRUE
MLOC_19115.6	004_15d124	TRUE
MLOC_19163.1	004_15d124	TRUE
MLOC_19169.1	004_15d124	TRUE
MLOC_19185.3	004_15d124	TRUE
MLOC_19198	004_15d124	TRUE
MLOC_19234.6	004_15d124	TRUE
MLOC_19366.1	004_15d124	TRUE
MLOC_19368.7	004_15d124	TRUE
MLOC_19429	004_15d124	TRUE
MLOC_1956.1	004_15d124	TRUE
MLOC_19681.2	004_15d124	TRUE
MLOC_1974	004_15d124	TRUE
MLOC_1975.1	004_15d124	TRUE
MLOC_1989.1	004_15d124	TRUE
MLOC_19896	004_15d124	TRUE
MLOC_20004.1	004_15d124	TRUE
MLOC_20083.1	004_15d124	TRUE
MLOC_20326	004_15d124	TRUE
MLOC_20377.3	004_15d124	TRUE
MLOC_20448	004_15d124	TRUE
MLOC_20490.1	004_15d124	TRUE
MLOC_20491.1	004_15d124	TRUE
MLOC_20546.2	004_15d124	TRUE
MLOC_20548.2	004_15d124	TRUE
MLOC_2059.2	004_15d124	TRUE
MLOC_20614.2	004_15d124	TRUE
MLOC_20636.1	004_15d124	TRUE
MLOC_20687.1	004_15d124	TRUE
MLOC_2071.1	004_15d124	TRUE
MLOC_2075.1	004_15d124	TRUE
MLOC_20822.1	004_15d124	TRUE
MLOC_20836.1	004_15d124	TRUE
MLOC_20909.2	004_15d124	TRUE
MLOC_20912.1	004_15d124	TRUE
MLOC_20970.1	004_15d124	TRUE
MLOC_21012.1	004_15d124	TRUE
MLOC_21028.1	004_15d124	TRUE
MLOC_21156	004_15d124	TRUE
MLOC_21198.1	004_15d124	TRUE
MLOC_21205.1	004_15d124	TRUE
MLOC_21207.1	004_15d124	TRUE
MLOC_21450.3	004_15d124	TRUE
MLOC_21456.2	004_15d124	TRUE
MLOC_21507	004_15d124	TRUE
MLOC_21558	004_15d124	TRUE
MLOC_21709.1	004_15d124	TRUE
MLOC_21715.1	004_15d124	TRUE
MLOC_21788.1	004_15d124	TRUE
MLOC_21789.1	004_15d124	TRUE
MLOC_21843.1	004_15d124	TRUE
MLOC_21853.1	004_15d124	TRUE
MLOC_21916.1	004_15d124	TRUE
MLOC_2193.1	004_15d124	TRUE
MLOC_21956.1	004_15d124	TRUE
MLOC_22088.1	004_15d124	TRUE
MLOC_22145.2	004_15d124	TRUE
MLOC_22151.1	004_15d124	TRUE
MLOC_2227.1	004_15d124	TRUE
MLOC_22315	004_15d124	TRUE
MLOC_2236.1	004_15d124	TRUE
MLOC_22426	004_15d124	TRUE
MLOC_22427	004_15d124	TRUE
MLOC_22572.1	004_15d124	TRUE
MLOC_22579.1	004_15d124	TRUE
MLOC_22590.1	004_15d124	TRUE
MLOC_22594	004_15d124	TRUE
MLOC_22607.1	004_15d124	TRUE
MLOC_22614.1	004_15d124	TRUE
MLOC_2262.1	004_15d124	TRUE
MLOC_22739	004_15d124	TRUE
MLOC_22770	004_15d124	TRUE
MLOC_22907.1	004_15d124	TRUE
MLOC_23008.1	004_15d124	TRUE
MLOC_23074	004_15d124	TRUE
MLOC_23089.1	004_15d124	TRUE
MLOC_23109.1	004_15d124	TRUE
MLOC_23189.1	004_15d124	TRUE
MLOC_2365.1	004_15d124	TRUE
MLOC_23755	004_15d124	TRUE
MLOC_23785.3	004_15d124	TRUE
MLOC_23836	004_15d124	TRUE
MLOC_23888.1	004_15d124	TRUE
MLOC_23987.1	004_15d124	TRUE
MLOC_24033.1	004_15d124	TRUE
MLOC_24052.1	004_15d124	TRUE
MLOC_24054	004_15d124	TRUE
MLOC_24113.1	004_15d124	TRUE
MLOC_24130	004_15d124	TRUE
MLOC_24134.1	004_15d124	TRUE
MLOC_2418.1	004_15d124	TRUE
MLOC_2419.2	004_15d124	TRUE
MLOC_2422.1	004_15d124	TRUE
MLOC_24226.1	004_15d124	TRUE
MLOC_24304	004_15d124	TRUE
MLOC_24386	004_15d124	TRUE
MLOC_24563.1	004_15d124	TRUE
MLOC_24777.1	004_15d124	TRUE
MLOC_24804	004_15d124	TRUE
MLOC_24844.1	004_15d124	TRUE
MLOC_24846	004_15d124	TRUE
MLOC_24860.1	004_15d124	TRUE
MLOC_24873.1	004_15d124	TRUE
MLOC_24874.2	004_15d124	TRUE
MLOC_24964	004_15d124	TRUE
MLOC_24980.1	004_15d124	TRUE
MLOC_24998.1	004_15d124	TRUE
MLOC_25023.1	004_15d124	TRUE
MLOC_25077.2	004_15d124	TRUE
MLOC_25087.1	004_15d124	TRUE
MLOC_25129	004_15d124	TRUE
MLOC_25218.1	004_15d124	TRUE
MLOC_2531	004_15d124	TRUE
MLOC_25342.1	004_15d124	TRUE
MLOC_25412.1	004_15d124	TRUE
MLOC_25456	004_15d124	TRUE
MLOC_25517	004_15d124	TRUE
MLOC_25543.1	004_15d124	TRUE
MLOC_256	004_15d124	TRUE
MLOC_25675.1	004_15d124	TRUE
MLOC_25679.1	004_15d124	TRUE
MLOC_25801	004_15d124	TRUE
MLOC_25818.1	004_15d124	TRUE
MLOC_25846.1	004_15d124	TRUE
MLOC_25950.1	004_15d124	TRUE
MLOC_2597	004_15d124	TRUE
MLOC_25990.1	004_15d124	TRUE
MLOC_26032.1	004_15d124	TRUE
MLOC_26046	004_15d124	TRUE
MLOC_26106.1	004_15d124	TRUE
MLOC_2612	004_15d124	TRUE
MLOC_2619.1	004_15d124	TRUE
MLOC_26193.1	004_15d124	TRUE
MLOC_262.1	004_15d124	TRUE
MLOC_26232.1	004_15d124	TRUE
MLOC_2633.1	004_15d124	TRUE
MLOC_26396.1	004_15d124	TRUE
MLOC_26429.1	004_15d124	TRUE
MLOC_26505.2	004_15d124	TRUE
MLOC_26557.1	004_15d124	TRUE
MLOC_26571	004_15d124	TRUE
MLOC_26577.1	004_15d124	TRUE
MLOC_26588.1	004_15d124	TRUE
MLOC_26596.1	004_15d124	TRUE
MLOC_26652.1	004_15d124	TRUE
MLOC_26678.1	004_15d124	TRUE
MLOC_26715.1	004_15d124	TRUE
MLOC_26766.1	004_15d124	TRUE
MLOC_2685.1	004_15d124	TRUE
MLOC_26876.1	004_15d124	TRUE
MLOC_26924.1	004_15d124	TRUE
MLOC_26925.1	004_15d124	TRUE
MLOC_26926.1	004_15d124	TRUE
MLOC_26949.1	004_15d124	TRUE
MLOC_26960.1	004_15d124	TRUE
MLOC_27003.1	004_15d124	TRUE
MLOC_27015.1	004_15d124	TRUE
MLOC_27046.1	004_15d124	TRUE
MLOC_27113.1	004_15d124	TRUE
MLOC_2714.2	004_15d124	TRUE
MLOC_27155.1	004_15d124	TRUE
MLOC_27158.1	004_15d124	TRUE
MLOC_27171.1	004_15d124	TRUE
